year,month,day,temp_min,temp_max,rain_in
2025,3,1,17.22,27.22,0.00
2025,3,2,16.67,27.22,0.00
2025,3,3,18.33,26.67,0.00
2025,3,4,21.11,26.67,0.17
2025,3,5,20.56,28.89,0.03
2025,3,6,14.44,25.00,0.00
2025,3,7,11.67,25.00,0.00
2025,3,8,15.56,28.89,0.00
2025,3,9,17.22,31.11,0.00
2025,3,10,17.78,31.67,0.00
2025,3,11,14.44,26.11,0.00
2025,3,12,15.56,26.67,0.00
2025,3,13,16.11,26.11,0.00
2025,3,14,19.44,28.33,0.00
2025,3,15,22.22,27.78,0.00
2025,3,16,23.33,29.44,0.01
2025,3,17,14.44,26.11,0.00
2025,3,18,13.33,26.11,0.00
2025,3,19,16.11,26.67,0.00
2025,3,20,15.56,29.44,0.00
2025,3,21,15.56,24.44,0.00
2025,3,22,15.00,25.56,0.00
2025,3,23,17.78,26.11,0.00
2025,3,24,21.67,28.33,0.00
2025,3,25,20.00,30.00,0.15
2025,3,26,19.44,28.89,0.00
2025,3,27,21.11,28.33,0.00
2025,3,28,22.78,27.22,0.00
2025,3,29,22.78,26.67,0.02
2025,3,30,20.56,27.22,1.21
2025,3,31,21.67,30.00,0.00
2025,4,1,23.33,31.11,0.00
2025,4,2,24.44,29.44,0.00
2025,4,3,25.00,30.00,0.00
2025,4,4,24.44,29.44,0.00
2025,4,5,24.44,29.44,0.00
2025,4,6,23.89,28.89,0.00
2025,4,7,23.89,30.00,0.00
2025,4,8,21.11,28.89,1.02
2025,4,9,18.89,27.22,0.00
2025,4,10,18.33,27.78,0.01
2025,4,11,20.00,28.33,0.00
2025,4,12,17.78,27.78,0.00
2025,4,13,16.11,27.22,0.00
2025,4,14,19.44,27.22,0.00
2025,4,15,18.33,30.00,0.00
2025,4,16,18.89,29.44,0.00
2025,4,17,21.11,28.33,0.00
2025,4,18,22.22,28.33,0.00
2025,4,19,23.33,27.78,0.00
2025,4,20,22.22,28.89,0.00
2025,4,21,22.78,28.33,0.00
2025,4,22,22.78,28.33,0.00
2025,4,23,22.78,28.89,0.00
2025,4,24,23.33,28.89,0.00
2025,4,25,22.78,28.89,0.00
2025,4,26,23.33,29.44,0.00
2025,4,27,21.11,29.44,0.00
2025,4,28,21.67,29.44,0.00
2025,4,29,24.44,28.89,0.00
2025,4,30,23.33,28.33,0.00
2025,5,1,23.33,28.89,0.00
2025,5,2,22.22,28.89,0.00
2025,5,3,22.78,28.33,0.13
2025,5,4,20.56,28.89,0.95
2025,5,5,22.22,30.56,0.00
2025,5,6,25.00,30.56,0.00
2025,5,7,24.44,30.00,0.00
2025,5,8,23.33,30.00,0.00
2025,5,9,23.89,30.00,0.00
2025,5,10,25.56,31.11,0.00
2025,5,11,26.11,30.56,0.00
2025,5,12,21.67,28.89,4.35
2025,5,13,23.89,31.11,0.21
2025,5,14,22.78,32.78,0.00
2025,5,15,23.89,32.22,0.00
2025,5,16,23.89,31.67,0.00
2025,5,17,25.00,32.78,0.00
2025,5,18,25.00,31.67,0.00
2025,5,19,25.00,32.22,0.00
2025,5,20,25.00,32.22,0.00
2025,5,21,25.56,34.44,0.00
2025,5,22,22.22,34.44,1.69
2025,5,23,24.44,32.78,0.00
2025,5,24,25.56,32.22,0.00
2025,5,25,27.22,32.22,0.00
2025,5,26,27.22,32.78,0.20
2025,5,27,26.11,32.22,0.45
2025,5,28,27.78,32.22,0.00
2025,5,29,27.22,32.22,0.00
2025,5,30,26.11,33.33,0.00
2025,5,31,24.44,33.33,0.00
2025,6,1,23.89,30.00,0.40
2025,6,2,22.22,33.33,3.95
2025,6,3,22.22,25.56,1.24
2025,6,4,23.33,30.56,0.08
2025,6,5,26.67,30.00,0.00
2025,6,6,26.67,31.67,0.00
2025,6,7,25.00,32.22,0.00
2025,6,8,25.56,32.78,0.00
2025,6,9,26.67,32.22,0.00
2025,6,10,26.67,32.78,0.01
2025,6,11,26.67,32.22,0.40
2025,6,12,24.44,32.22,0.06
2025,6,13,25.00,31.67,0.82
