year,month,day,temp_min,temp_max,rain_in
2025,4,1,23.33,31.11,0.00
2025,4,2,24.44,29.44,0.00
2025,4,3,25.00,30.00,0.00
2025,4,4,24.44,29.44,0.00
2025,4,5,24.44,29.44,0.00
2025,4,6,23.89,28.89,0.00
2025,4,7,23.89,30.00,0.00
2025,4,8,21.11,28.89,1.02
2025,4,9,18.89,27.22,0.00
2025,4,10,18.33,27.78,0.01
2025,4,11,20.00,28.33,0.00
2025,4,12,17.78,27.78,0.00
2025,4,13,16.11,27.22,0.00
2025,4,14,19.44,27.22,0.00
2025,4,15,18.33,30.00,0.00
2025,4,16,18.89,29.44,0.00
2025,4,17,21.11,28.33,0.00
2025,4,18,22.22,28.33,0.00
2025,4,19,23.33,27.78,0.00
2025,4,20,22.22,28.89,0.00
2025,4,21,22.78,28.33,0.00
2025,4,22,22.78,28.33,0.00
2025,4,23,22.78,28.89,0.00
2025,4,24,23.33,28.89,0.00
2025,4,25,22.78,28.89,0.00
2025,4,26,23.33,29.44,0.00
2025,4,27,21.11,29.44,0.00
2025,4,28,21.67,29.44,0.00
2025,4,29,24.44,28.89,0.00
2025,4,30,23.33,28.33,0.00
