year,month,day,temp_min,temp_max,rain_in
2025,8,1,27.78,33.89,0.00
2025,8,2,26.11,34.44,0.00
2025,8,3,26.67,34.44,0.00
2025,8,4,26.67,33.33,0.05
2025,8,5,26.11,33.89,1.14
2025,8,6,25.56,33.89,0.02
2025,8,7,25.00,31.67,0.66
2025,8,8,23.89,31.11,0.07
2025,8,9,23.89,28.33,1.04
2025,8,10,23.89,31.67,0.17
2025,8,11,25.00,32.78,0.56
2025,8,12,26.11,32.78,0.16
2025,8,13,27.22,32.78,0.00
2025,8,14,27.22,32.78,0.00
2025,8,15,27.22,33.89,0.00
2025,8,16,26.67,33.89,0.00
2025,8,17,26.67,33.33,0.08
2025,8,18,26.11,34.44,0.00
2025,8,19,25.56,35.00,0.19
2025,8,20,25.00,36.11,0.00
2025,8,21,24.44,33.33,0.15
2025,8,22,25.00,35.00,0.59
2025,8,23,24.44,32.22,0.16
2025,8,24,24.44,33.89,0.18
2025,8,25,25.56,33.89,0.00
2025,8,26,26.67,34.44,0.00
2025,8,27,26.67,35.00,0.15
2025,8,28,26.11,33.33,0.04
2025,8,29,25.00,33.89,0.07
2025,8,30,25.00,33.89,0.00
2025,8,31,25.00,34.44,0.40
