year,month,day,temp_min,temp_max,rain_in
2025,6,1,23.89,30.00,0.40
2025,6,2,22.22,33.33,3.95
2025,6,3,22.22,25.56,1.24
2025,6,4,23.33,30.56,0.08
2025,6,5,26.67,30.00,0.00
2025,6,6,26.67,31.67,0.00
2025,6,7,25.00,32.22,0.00
2025,6,8,25.56,32.78,0.00
2025,6,9,26.67,32.22,0.00
2025,6,10,26.67,32.78,0.01
2025,6,11,26.67,32.22,0.40
2025,6,12,24.44,32.22,0.06
2025,6,13,25.00,31.67,0.82
2025,6,14,26.67,31.67,0.00
2025,6,15,26.11,32.22,0.00
2025,6,16,23.89,32.22,0.12
2025,6,17,26.11,32.22,0.00
2025,6,18,24.44,32.22,0.13
2025,6,19,26.11,32.22,0.66
2025,6,20,25.00,32.22,0.00
2025,6,21,25.56,32.22,0.10
2025,6,22,25.56,31.67,0.26
2025,6,23,27.22,32.22,0.02
2025,6,24,23.33,32.78,0.07
2025,6,25,23.33,31.11,0.08
2025,6,26,25.00,30.00,0.01
2025,6,27,26.67,32.22,0.00
2025,6,28,25.00,32.22,0.00
2025,6,29,24.44,32.22,0.00
2025,6,30,25.00,32.78,0.00
