year,month,day,temp_min,temp_max,rain_in
2025,3,1,17.22,27.22,0.00
2025,3,2,16.67,27.22,0.00
2025,3,3,18.33,26.67,0.00
2025,3,4,21.11,26.67,0.17
2025,3,5,20.56,28.89,0.03
2025,3,6,14.44,25.00,0.00
2025,3,7,11.67,25.00,0.00
2025,3,8,15.56,28.89,0.00
2025,3,9,17.22,31.11,0.00
2025,3,10,17.78,31.67,0.00
2025,3,11,14.44,26.11,0.00
2025,3,12,15.56,26.67,0.00
2025,3,13,16.11,26.11,0.00
2025,3,14,19.44,28.33,0.00
2025,3,15,22.22,27.78,0.00
2025,3,16,23.33,29.44,0.01
2025,3,17,14.44,26.11,0.00
2025,3,18,13.33,26.11,0.00
2025,3,19,16.11,26.67,0.00
2025,3,20,15.56,29.44,0.00
2025,3,21,15.56,24.44,0.00
2025,3,22,15.00,25.56,0.00
2025,3,23,17.78,26.11,0.00
2025,3,24,21.67,28.33,0.00
2025,3,25,20.00,30.00,0.15
2025,3,26,19.44,28.89,0.00
2025,3,27,21.11,28.33,0.00
2025,3,28,22.78,27.22,0.00
2025,3,29,22.78,26.67,0.02
2025,3,30,20.56,27.22,1.21
2025,3,31,21.67,30.00,0.00
