year,month,day,temp_min,temp_max,rain_in
2025,5,1,23.33,28.89,0.00
2025,5,2,22.22,28.89,0.00
2025,5,3,22.78,28.33,0.13
2025,5,4,20.56,28.89,0.95
2025,5,5,22.22,30.56,0.00
2025,5,6,25.00,30.56,0.00
2025,5,7,24.44,30.00,0.00
2025,5,8,23.33,30.00,0.00
2025,5,9,23.89,30.00,0.00
2025,5,10,25.56,31.11,0.00
2025,5,11,26.11,30.56,0.00
2025,5,12,21.67,28.89,4.35
2025,5,13,23.89,31.11,0.21
2025,5,14,22.78,32.78,0.00
2025,5,15,23.89,32.22,0.00
2025,5,16,23.89,31.67,0.00
2025,5,17,25.00,32.78,0.00
2025,5,18,25.00,31.67,0.00
2025,5,19,25.00,32.22,0.00
2025,5,20,25.00,32.22,0.00
2025,5,21,25.56,34.44,0.00
2025,5,22,22.22,34.44,1.69
2025,5,23,24.44,32.78,0.00
2025,5,24,25.56,32.22,0.00
2025,5,25,27.22,32.22,0.00
2025,5,26,27.22,32.78,0.20
2025,5,27,26.11,32.22,0.45
2025,5,28,27.78,32.22,0.00
2025,5,29,27.22,32.22,0.00
2025,5,30,26.11,33.33,0.00
2025,5,31,24.44,33.33,0.00
