year,month,day,temp_min,temp_max,rain_in
2025,10,1,25.00,33.33,0.00
2025,10,2,23.33,31.67,1.17
2025,10,3,23.89,31.11,0.11
2025,10,4,25.56,31.11,0.06
2025,10,5,25.00,31.11,0.04
2025,10,6,25.56,31.67,0.24
2025,10,7,25.56,31.67,0.02
2025,10,8,25.56,31.67,0.00
2025,10,9,25.00,31.67,0.03
2025,10,10,23.89,26.67,0.79
2025,10,11,22.78,30.00,0.02
2025,10,12,21.67,31.11,0.00
2025,10,13,23.89,31.11,0.00
2025,10,14,24.44,30.00,0.00
2025,10,15,23.89,30.00,0.00
2025,10,16,22.78,30.00,0.00
2025,10,17,23.89,29.44,0.00
2025,10,18,22.22,29.44,0.00
2025,10,19,25.00,30.00,0.00
2025,10,20,24.44,31.11,0.00
2025,10,21,25.56,30.56,0.00
2025,10,22,24.44,31.11,0.00
2025,10,23,24.44,31.11,0.00
2025,10,24,25.56,30.56,0.00
2025,10,25,25.56,29.44,0.00
2025,10,26,25.00,30.56,0.97
2025,10,27,25.00,30.56,0.03
2025,10,28,24.44,31.67,0.00
2025,10,29,23.89,30.56,0.00
2025,10,30,20.56,26.11,0.00
2025,10,31,18.33,24.44,0.00
