year,month,day,temp_min,temp_max,rain_in
2025,9,1,25.00,33.89,0.00
2025,9,2,25.56,34.44,0.00
2025,9,3,25.00,32.22,0.07
2025,9,4,25.56,31.11,0.00
2025,9,5,24.44,32.78,1.72
2025,9,6,25.00,30.00,0.00
2025,9,7,26.11,32.78,0.00
2025,9,8,23.33,33.33,3.59
2025,9,9,23.89,31.67,2.63
2025,9,10,23.33,33.33,1.92
2025,9,11,24.44,34.44,0.62
2025,9,12,23.89,32.22,1.75
2025,9,13,23.33,32.78,0.77
2025,9,14,23.33,32.78,1.23
2025,9,15,23.89,31.67,0.00
2025,9,16,26.11,33.33,0.00
2025,9,17,25.00,29.44,0.00
2025,9,18,24.44,30.56,0.17
2025,9,19,25.00,33.33,0.00
2025,9,20,25.56,31.67,0.25
2025,9,21,23.33,30.00,1.01
2025,9,22,24.44,32.22,0.00
2025,9,23,23.33,31.11,0.59
2025,9,24,24.44,31.11,0.03
2025,9,25,25.00,33.33,0.01
2025,9,26,25.56,32.22,0.09
2025,9,27,25.56,32.78,0.05
2025,9,28,25.56,31.11,0.05
2025,9,29,25.00,32.22,0.00
2025,9,30,24.44,32.78,0.00
