month,hour,mean,std,median,min,max,count
2025-03,0,10.0244,0.6845,10.3000,8.5607,10.4910,12
2025-03,1,10.1550,0.5137,10.2780,8.5427,10.5483,12
2025-03,2,9.8619,1.0210,10.2780,7.6755,10.4954,12
2025-03,3,9.8581,1.0163,10.2815,7.6820,10.3979,12
2025-03,4,10.1060,0.5052,10.2540,8.5030,10.2730,12
2025-03,5,9.8292,1.0052,10.2565,7.6745,10.2900,12
2025-03,6,9.8085,0.9996,10.2645,7.6775,10.2890,12
2025-03,7,10.2200,0.1566,10.2640,9.7493,10.2910,11
2025-03,8,9.9600,0.6083,10.2680,8.5503,10.3020,12
2025-03,9,10.0396,0.5022,10.2720,8.9845,10.3180,12
2025-03,10,10.2316,0.2425,10.3060,9.4807,10.3660,12
2025-03,11,10.0792,0.5081,10.2870,8.9910,10.3596,12
2025-03,12,10.0642,0.6064,10.2970,8.5773,10.4937,12
2025-03,13,10.2260,0.3889,10.3155,9.0140,10.5713,12
2025-03,14,9.8800,1.0243,10.2900,7.6930,10.5619,12
2025-03,15,9.6624,1.6206,10.2870,5.1230,10.5887,12
2025-03,16,10.0567,0.7527,10.2695,7.6680,10.3400,12
2025-03,17,9.7885,1.0424,10.2730,7.6825,10.2990,16
2025-03,18,9.7096,1.3090,10.2720,5.1050,10.3010,24
2025-03,19,10.1266,0.4435,10.2745,8.5210,10.3220,24
2025-03,20,10.0672,0.5279,10.2845,8.5630,10.3270,16
2025-03,21,10.0173,0.5957,10.2820,8.5517,10.3250,12
2025-03,22,10.2142,0.2909,10.2995,9.2976,10.3490,12
2025-03,23,10.0586,0.6002,10.3010,8.5747,10.3874,12
2025-04,0,10.2140,0.6212,10.4610,7.6985,10.8068,95
2025-04,1,10.3512,0.4395,10.4645,7.8380,10.8602,96
2025-04,2,10.1266,0.8115,10.4335,7.7960,10.8940,108
2025-04,3,10.0420,0.9812,10.4400,5.2280,10.8996,107
2025-04,4,10.3208,0.4632,10.4520,8.6627,10.9189,77
2025-04,5,10.0318,1.0716,10.4565,5.2030,10.6316,80
2025-04,6,10.0424,0.9604,10.4620,5.1200,10.5239,83
2025-04,7,10.2647,0.6869,10.4665,5.2220,10.6897,84
