month,hour,mean,std,median,min,max,count
2025-03,0,,0.0000,,,,0
2025-03,1,,0.0000,,,,0
2025-03,2,,0.0000,,,,0
2025-03,3,,0.0000,,,,0
2025-03,4,,0.0000,,,,0
2025-03,5,,0.0000,,,,0
2025-03,6,,0.0000,,,,0
2025-03,7,,0.0000,,,,0
2025-03,8,,0.0000,,,,0
2025-03,9,,0.0000,,,,0
2025-03,10,,0.0000,,,,0
2025-03,11,,0.0000,,,,0
2025-03,12,,0.0000,,,,0
2025-03,13,,0.0000,,,,0
2025-03,14,,0.0000,,,,0
2025-03,15,,0.0000,,,,0
2025-03,16,,0.0000,,,,0
2025-03,17,,0.0000,,,,0
2025-03,18,,0.0000,,,,0
2025-03,19,,0.0000,,,,0
2025-03,20,,0.0000,,,,0
2025-03,21,,0.0000,,,,0
2025-03,22,,0.0000,,,,0
2025-03,23,,0.0000,,,,0
2025-04,0,,0.0000,,,,0
2025-04,1,,0.0000,,,,0
2025-04,2,,0.0000,,,,0
2025-04,3,,0.0000,,,,0
2025-04,4,,0.0000,,,,0
2025-04,5,,0.0000,,,,0
2025-04,6,,0.0000,,,,0
2025-04,7,,0.0000,,,,0
2025-04,8,,0.0000,,,,0
2025-04,9,,0.0000,,,,0
2025-04,10,,0.0000,,,,0
2025-04,11,,0.0000,,,,0
2025-04,12,,0.0000,,,,0
2025-04,13,,0.0000,,,,0
2025-04,14,,0.0000,,,,0
2025-04,15,,0.0000,,,,0
2025-04,16,,0.0000,,,,0
2025-04,17,,0.0000,,,,0
2025-04,18,,0.0000,,,,0
2025-04,19,,0.0000,,,,0
2025-04,20,,0.0000,,,,0
2025-04,21,,0.0000,,,,0
2025-04,22,,0.0000,,,,0
2025-04,23,,0.0000,,,,0
2025-05,0,5.8001,0.7023,5.4250,5.1500,6.9506,18
2025-05,1,5.7553,0.4644,5.7844,5.1300,6.5200,24
2025-05,2,5.4372,0.5833,5.1400,4.8050,6.3594,19
2025-05,3,5.5605,0.3305,5.4150,5.1029,6.2216,18
2025-05,4,5.4325,0.1856,5.4550,5.1400,5.9200,24
2025-05,5,5.6911,0.3254,5.8007,5.1300,6.4845,18
2025-05,6,5.2511,0.1085,5.2350,5.1300,5.4484,12
2025-05,7,5.1279,0.0886,5.1500,4.9600,5.2400,12
2025-05,8,4.8898,0.1138,4.8800,4.7200,5.0742,13
2025-05,9,4.4758,0.1071,4.4850,4.3000,4.6500,12
2025-05,10,4.1054,0.0755,4.1100,4.0000,4.2550,12
2025-05,11,4.0458,0.0462,4.0500,3.9500,4.1000,12
2025-05,12,4.2867,0.1817,4.2250,4.1000,4.5500,12
2025-05,13,4.7409,0.1968,4.7200,4.4700,5.2267,13
2025-05,14,5.1740,0.1401,5.1200,4.9800,5.4125,13
2025-05,15,6.0302,0.1784,6.1000,5.6100,6.1500,13
2025-05,16,6.2478,0.3098,6.1500,6.1100,7.2520,13
2025-05,17,6.8025,0.1293,6.8450,6.6000,7.0000,12
2025-05,18,6.4900,0.0000,6.4900,6.4900,6.4900,1
2025-05,19,6.4844,0.3447,6.4300,6.2400,7.3700,9
2025-05,20,6.3980,0.5182,6.2500,6.2100,8.1200,13
2025-05,21,6.7355,0.8730,6.8033,5.6100,7.8000,24
2025-05,22,6.4591,0.8576,6.4350,5.5100,7.4300,24
2025-05,23,5.4300,0.6645,5.1925,4.8000,7.1000,13
2025-06,0,7.3271,0.8386,7.3542,5.1500,9.1400,154
2025-06,1,7.0424,0.8732,6.9925,4.4600,8.6600,156
2025-06,2,6.7594,0.8836,6.7050,4.3500,8.4600,156
2025-06,3,6.5124,0.9022,6.5500,4.2000,8.0400,145
2025-06,4,6.2342,0.7824,6.2618,4.2400,7.4300,144
2025-06,5,5.8521,0.7070,5.7900,4.1700,7.3400,143
2025-06,6,5.5834,0.5823,5.5050,4.4100,6.7900,144
2025-06,7,5.4909,0.5549,5.3005,4.7100,6.8500,144
2025-06,8,5.2543,0.6246,5.0600,4.3900,6.7000,143
2025-06,9,5.0593,0.7258,4.8816,4.0100,6.7000,144
2025-06,10,4.9293,0.8028,4.6000,3.8900,6.7696,144
2025-06,11,4.9526,0.7631,4.6700,3.9700,6.8300,141
2025-06,12,5.1358,0.7695,4.7900,3.9100,7.1800,143
2025-06,13,5.3147,0.6947,5.1300,4.2800,7.0900,144
2025-06,14,5.6109,0.6454,5.5200,4.3600,7.4300,149
2025-06,15,6.1265,0.5217,6.1250,4.8300,7.3700,152
2025-06,16,6.6628,0.5296,6.8000,5.3800,7.6400,156
2025-06,17,7.0632,0.6215,7.2100,5.2100,8.0900,155
2025-06,18,7.5032,0.7775,7.6400,5.3900,9.2800,155
2025-06,19,7.8986,0.9594,8.1300,5.1900,9.4600,148
2025-06,20,7.9311,0.9493,8.3050,5.7100,9.3200,161
2025-06,21,8.1349,0.9919,8.2100,5.7400,10.2200,157
2025-06,22,8.0098,0.8962,8.0550,5.9500,10.1900,156
