month,hour,mean,std,median,min,max,count
2025-03,0,14.5246,0.9818,14.9450,12.4133,14.9886,12
2025-03,1,14.7104,0.7283,14.9100,12.4033,15.0716,12
2025-03,2,13.9793,2.3261,14.9050,7.4400,14.9970,12
2025-03,3,14.2800,1.4612,14.9000,11.1500,14.9500,12
2025-03,4,14.6566,0.7301,14.8900,12.3567,14.9300,12
2025-03,5,14.2263,1.4511,14.9050,11.1500,14.9400,12
2025-03,6,14.4185,1.1548,14.8700,11.1500,14.9200,12
2025-03,7,14.8073,0.0065,14.8100,14.7900,14.8100,11
2025-03,8,14.2342,1.4505,14.8300,11.1300,14.9200,12
2025-03,9,14.4989,0.8060,14.9200,13.0400,14.9900,12
2025-03,10,14.7958,0.4448,14.9600,13.5040,15.0300,12
2025-03,11,14.6398,0.8064,14.9600,12.4800,15.0800,12
2025-03,12,14.6094,0.7317,14.9300,13.0575,15.0000,12
2025-03,13,15.0228,0.3897,15.1682,13.8767,15.2700,12
2025-03,14,14.0025,2.3389,14.9250,7.4300,15.1104,12
2025-03,15,14.3025,1.4669,14.9150,11.1600,14.9848,12
2025-03,16,14.7200,0.7440,14.9150,12.3700,15.1606,12
2025-03,17,13.9562,2.1544,14.9100,7.4400,14.9500,16
2025-03,18,14.4290,1.1415,14.8750,11.1450,14.9400,24
2025-03,19,14.8349,0.0196,14.8300,14.8100,14.8867,24
2025-03,20,14.3451,1.2058,14.8800,11.1350,14.9900,16
2025-03,21,14.5283,0.7707,14.9250,13.0475,14.9900,12
2025-03,22,14.8055,0.4375,14.9600,13.5060,15.0400,12
2025-03,23,14.6155,0.7317,14.9200,13.0450,15.0000,12
2025-04,0,14.4826,0.9369,14.8700,11.1000,15.1000,72
2025-04,1,14.7361,0.5774,14.8700,12.3167,15.1518,72
2025-04,2,14.3458,1.2498,14.8600,11.1000,15.2056,84
2025-04,3,14.2317,1.6013,14.8600,7.4100,15.2129,82
2025-04,4,14.6056,0.7274,14.8450,12.3067,15.1463,60
2025-04,5,14.0935,1.7423,14.8500,7.4000,14.9000,59
2025-04,6,14.1804,1.4790,14.8400,7.4200,14.9100,59
2025-04,7,14.6067,0.6441,14.8550,12.3300,14.9600,60
2025-04,8,14.3890,1.0333,14.8600,11.0900,14.9700,59
2025-04,9,14.4473,0.8500,14.8700,12.3467,14.9400,60
2025-04,10,14.7562,0.4374,14.8950,13.0350,15.0000,60
2025-04,11,14.4803,0.9671,14.8800,11.1000,15.0321,60
2025-04,12,14.3427,1.4164,14.8750,7.4000,15.0942,60
2025-04,13,14.7128,0.6328,14.8700,12.3167,15.1550,60
2025-04,14,14.2307,1.5932,14.8700,7.4200,15.1964,58
2025-04,15,14.1743,1.6133,14.8600,7.4100,15.1262,60
2025-04,16,14.5046,1.2372,14.8500,7.4100,15.0273,60
2025-04,17,14.0529,1.8015,14.8500,7.4100,14.9200,59
2025-04,18,14.3483,1.1833,14.8300,11.0800,14.9400,69
2025-04,19,14.6325,0.6922,14.8000,11.0750,14.9718,71
2025-04,20,14.5287,1.0177,14.7900,7.4000,14.9300,70
2025-04,21,14.5749,0.7062,14.7900,11.1000,14.9400,68
2025-04,22,14.7428,0.4501,14.8670,12.3633,14.9800,72
2025-04,23,14.5467,0.7759,14.8700,12.3533,15.0442,71
2025-05,0,14.2799,1.2724,14.8200,7.3600,15.1614,348
2025-05,1,14.7136,0.5484,14.8300,11.0350,15.1939,347
2025-05,2,14.2826,1.3231,14.8300,7.3800,15.5705,344
2025-05,3,14.2459,1.4307,14.8300,7.3900,15.1978,336
2025-05,4,14.7259,0.4948,14.8400,11.0850,15.2209,336
2025-05,5,14.2798,1.3362,14.8300,7.3700,15.0767,334
2025-05,6,14.2096,1.4493,14.8200,7.3600,15.0950,338
2025-05,7,14.7031,0.5132,14.8100,11.0400,15.1195,347
2025-05,8,14.2522,1.3639,14.8000,7.3700,14.9712,344
2025-05,9,14.2869,1.1923,14.8100,7.3700,14.9467,347
2025-05,10,14.7155,0.4787,14.8200,11.0600,15.1509,348
2025-05,11,14.2794,1.2628,14.8200,7.3700,15.0896,347
2025-05,12,14.2935,1.2518,14.8300,7.3800,15.1208,348
2025-05,13,14.7160,0.6421,14.8400,7.3550,15.2155,347
2025-05,14,14.2329,1.5046,14.8400,7.3800,15.1448,353
2025-05,15,14.2295,1.4716,14.8400,7.3700,15.0946,359
2025-05,16,14.7258,0.5016,14.8400,11.0750,15.1163,359
2025-05,17,14.2216,1.4208,14.8400,7.3600,15.0952,355
2025-05,18,14.2199,1.4395,14.8200,7.3700,15.0512,354
2025-05,19,14.6840,0.5386,14.8100,11.0500,15.2188,352
2025-05,20,14.2916,1.2780,14.8000,7.3700,15.7400,338
2025-05,21,14.3283,1.1522,14.8000,7.3600,14.9774,343
2025-05,22,14.6949,0.5446,14.8100,11.0250,15.1891,347
2025-05,23,14.2862,1.2754,14.8100,7.3700,15.1468,346
2025-06,0,14.1046,1.4401,14.8000,11.0750,14.8200,12
2025-06,1,14.7520,0.3020,14.8300,13.7943,14.8700,12
2025-06,2,9.7836,6.5394,14.2467,0.7244,14.8700,18
2025-06,3,14.4885,0.7298,14.8350,12.9675,14.8900,12
2025-06,4,14.8962,0.1210,14.9200,14.5643,15.0100,12
2025-06,5,15.5442,0.4448,15.6700,14.1400,15.7400,12
2025-06,6,15.8108,0.0332,15.8150,15.7500,15.8500,12
2025-06,7,15.8375,0.0214,15.8450,15.7900,15.8600,12
2025-06,8,15.7125,0.0485,15.7150,15.6400,15.7800,12
2025-06,9,15.5300,0.0572,15.5300,15.4400,15.6200,12
2025-06,10,15.3523,0.0547,15.3700,15.2600,15.4250,11
2025-06,11,15.1808,0.0518,15.1700,15.1000,15.2500,12
2025-06,12,15.0317,0.0400,15.0300,14.9800,15.1000,12
2025-06,13,14.9546,0.0432,14.9450,14.9200,15.0500,12
2025-06,14,14.8440,0.6859,15.0800,12.3133,15.1300,16
2025-06,15,14.5213,1.0270,14.8600,11.0900,15.1500,22
2025-06,16,14.8959,0.1191,14.9200,14.4458,15.0100,24
2025-06,17,14.4834,0.8407,14.8450,12.3567,14.9200,24
2025-06,18,14.5660,0.8370,14.8400,12.3233,15.7600,23
2025-06,19,15.3056,0.5571,14.9496,14.7200,15.9000,23
2025-06,20,13.3446,3.8970,14.8132,0.7178,15.8100,14
2025-06,21,14.1741,1.4505,14.8100,11.0700,14.8200,12
2025-06,22,14.7249,0.0876,14.7300,14.4793,14.8100,12
2025-06,23,14.2272,1.2375,14.7900,11.0450,14.8700,12
2025-07,0,,0.0000,,,,0
2025-07,1,,0.0000,,,,0
2025-07,2,,0.0000,,,,0
2025-07,3,,0.0000,,,,0
2025-07,4,,0.0000,,,,0
2025-07,5,,0.0000,,,,0
2025-07,6,,0.0000,,,,0
2025-07,7,,0.0000,,,,0
2025-07,8,,0.0000,,,,0
2025-07,9,,0.0000,,,,0
2025-07,10,,0.0000,,,,0
2025-07,11,,0.0000,,,,0
2025-07,12,,0.0000,,,,0
2025-07,13,,0.0000,,,,0
2025-07,14,,0.0000,,,,0
2025-07,15,,0.0000,,,,0
2025-07,16,,0.0000,,,,0
2025-07,17,,0.0000,,,,0
2025-07,18,,0.0000,,,,0
2025-07,19,,0.0000,,,,0
2025-07,20,,0.0000,,,,0
2025-07,21,,0.0000,,,,0
2025-07,22,,0.0000,,,,0
2025-07,23,,0.0000,,,,0
2025-08,0,14.8924,0.5444,14.8500,12.8333,15.6000,83
2025-08,1,14.9573,0.2871,14.9350,14.2570,15.4650,84
2025-08,2,14.8463,0.4574,14.8900,13.0025,15.3200,83
2025-08,3,14.8351,0.6152,14.8600,11.1150,15.5100,82
2025-08,4,15.0420,0.3606,14.9700,14.5545,15.7000,84
2025-08,5,14.9692,0.7433,14.8800,11.1000,15.8700,83
2025-08,6,15.0040,1.0752,14.8500,7.3800,15.9600,84
2025-08,7,15.2407,0.5519,14.8300,14.5217,15.9800,84
2025-08,8,15.0831,0.8972,14.8400,11.0850,15.9600,83
2025-08,9,15.0647,0.8693,14.8400,11.0950,15.9800,84
2025-08,10,15.1547,0.4584,14.8650,14.6565,15.9400,84
2025-08,11,14.9773,0.5988,14.8500,11.8400,15.8100,83
2025-08,12,14.7869,1.0297,14.8700,7.4100,15.6200,83
2025-08,13,14.9175,0.2672,14.9000,13.9333,15.4400,84
2025-08,14,14.7872,0.4171,14.8900,13.0000,15.2800,84
2025-08,15,14.7663,0.5133,14.9000,11.8833,15.2000,81
2025-08,16,14.9464,0.2363,14.9800,14.4589,15.4200,84
2025-08,17,13.0587,4.6985,14.7550,0.7100,15.6400,96
2025-08,18,14.6803,1.7047,14.8500,0.8500,15.8500,85
2025-08,19,15.1073,0.4853,14.8500,14.4353,15.9600,84
2025-08,20,15.0951,0.8756,14.8200,11.0850,16.0000,83
2025-08,21,15.0737,0.8939,14.8450,11.0850,16.0300,84
2025-08,22,15.1608,0.4770,14.8400,14.6600,15.9600,84
2025-08,23,14.9260,0.7462,14.8300,11.0950,15.8000,82
