month,hour,mean,std,median,min,max,count
2025-03,0,0.8371,0.0045,0.8400,0.8300,0.8400,12
2025-03,1,0.7996,0.1052,0.8300,0.4656,0.8300,12
2025-03,2,0.8300,0.0000,0.8300,0.8300,0.8300,12
2025-03,3,0.8300,0.0000,0.8300,0.8300,0.8300,12
2025-03,4,0.8027,0.0947,0.8300,0.5020,0.8300,12
2025-03,5,0.8300,0.0000,0.8300,0.8300,0.8300,12
2025-03,6,0.8300,0.0000,0.8300,0.8300,0.8300,12
2025-03,7,0.7969,0.1099,0.8300,0.4656,0.8300,11
2025-03,8,0.8300,0.0000,0.8300,0.8300,0.8300,12
2025-03,9,0.8300,0.0000,0.8300,0.8300,0.8300,12
2025-03,10,0.8072,0.0789,0.8300,0.5567,0.8300,12
2025-03,11,0.8300,0.0000,0.8300,0.8300,0.8300,12
2025-03,12,0.8400,0.0002,0.8400,0.8394,0.8400,12
2025-03,13,0.8123,0.0958,0.8400,0.5080,0.8400,12
2025-03,14,0.8400,0.0000,0.8400,0.8400,0.8400,12
2025-03,15,0.8500,0.0000,0.8500,0.8500,0.8500,12
2025-03,16,0.8171,0.1140,0.8500,0.4550,0.8500,12
2025-03,17,0.8450,0.0089,0.8500,0.8300,0.8500,16
2025-03,18,0.8400,0.0102,0.8400,0.8300,0.8500,24
2025-03,19,0.8170,0.1031,0.8400,0.4600,0.8600,24
2025-03,20,0.8450,0.0089,0.8400,0.8400,0.8600,16
2025-03,21,0.8400,0.0000,0.8400,0.8400,0.8400,12
2025-03,22,0.8123,0.0958,0.8400,0.5080,0.8400,12
2025-03,23,0.8400,0.0000,0.8400,0.8400,0.8400,12
2025-04,0,0.4933,0.0100,0.4900,0.4600,0.5100,27
2025-04,1,0.4925,0.0099,0.4900,0.4600,0.5000,24
2025-04,2,0.4970,0.0102,0.5000,0.4600,0.5100,33
2025-04,3,0.4950,0.0111,0.5000,0.4600,0.5100,40
2025-04,4,0.4844,0.0198,0.5000,0.4600,0.5100,21
2025-04,5,0.4957,0.0096,0.5000,0.4700,0.5000,15
2025-04,6,0.4969,0.0111,0.5000,0.4600,0.5000,13
2025-04,7,0.4904,0.0135,0.4900,0.4476,0.5000,17
2025-04,8,0.4892,0.0041,0.4900,0.4700,0.4900,24
2025-04,9,0.4895,0.0023,0.4900,0.4783,0.4900,25
