month,hour,mean,std,median,min,max,count
2025-03,0,18.5259,0.9950,18.3450,16.7600,20.6000,12
2025-03,1,26.7774,3.8556,27.4400,19.6420,31.7200,12
2025-03,2,26.9851,3.6925,26.8007,21.2800,32.6400,12
2025-03,3,30.3001,2.8604,31.1450,24.8500,34.9300,12
2025-03,4,32.0653,1.8731,32.1700,27.8100,34.3100,12
2025-03,5,31.0008,2.4781,31.6050,25.4600,33.6500,12
2025-03,6,30.4513,1.5280,30.4555,28.2700,33.0700,12
2025-03,7,26.2205,2.0606,26.5500,21.1200,28.5500,11
2025-03,8,24.9929,2.0064,24.8133,21.6600,29.1500,12
2025-03,9,20.9155,1.6821,20.5800,18.9375,24.6400,12
2025-03,10,18.2990,1.1466,18.2350,16.7100,20.2100,12
2025-03,11,14.6510,1.0817,14.8323,12.2100,16.1100,12
2025-03,12,12.1936,1.1496,12.6184,10.3300,13.7400,12
2025-03,13,8.7740,0.7284,8.6350,7.8700,9.8100,12
2025-03,14,7.6279,0.4006,7.6725,6.8200,8.3700,12
2025-03,15,4.7392,0.8250,4.5350,3.7750,6.1400,12
2025-03,16,3.5933,0.1058,3.5750,3.4700,3.8050,12
2025-03,17,3.7245,0.4280,3.8600,2.9300,4.3700,16
2025-03,18,4.3030,0.8635,4.0050,3.2500,6.0100,24
2025-03,19,5.7312,2.5903,4.9287,3.2700,10.1100,24
2025-03,20,8.5684,3.1926,10.0000,3.1300,11.5200,16
2025-03,21,11.3185,0.6969,11.3750,10.2400,12.4900,12
2025-03,22,13.4416,0.5609,13.5450,12.3888,14.2900,12
2025-03,23,17.2321,1.9708,17.9558,13.8632,19.5900,12
2025-04,0,302.5683,196.2426,371.5000,0.2400,522.6600,60
2025-04,1,333.4599,220.2924,398.7200,0.0100,627.1700,60
2025-04,2,354.1570,232.9428,429.1500,0.0900,664.6200,60
2025-04,3,347.6832,211.2929,440.9340,0.0100,571.2280,59
2025-04,4,385.9198,151.6410,476.0900,192.7400,537.3200,29
2025-04,5,420.3263,144.8232,484.7150,183.9500,629.0700,32
2025-04,6,377.9918,155.2504,444.4100,151.5261,567.0100,35
2025-04,7,356.0919,127.1110,431.7300,158.6000,470.6300,36
2025-04,8,370.2748,128.9155,439.0600,161.9500,494.8100,36
2025-04,9,395.4656,122.5350,446.5150,202.4650,575.4700,48
2025-04,10,516.5859,333.9373,425.5750,227.6421,1386.1700,48
2025-04,11,526.7134,277.6923,447.7700,206.5400,1036.3000,47
2025-04,12,445.2800,113.8767,494.0000,238.4600,562.5700,46
2025-04,13,426.3026,121.2869,470.8798,220.0900,590.0675,46
2025-04,14,411.8604,147.1804,453.4600,201.5233,583.2900,35
2025-04,15,412.1663,126.7870,435.4900,233.6839,580.9900,36
2025-04,16,368.6409,140.2261,429.1400,113.6350,548.1254,41
2025-04,17,329.4034,144.2289,356.6800,103.0233,547.4200,46
2025-04,18,261.5861,160.4649,284.7100,1.1300,502.9800,57
2025-04,19,247.0276,148.5734,294.3300,1.2600,409.9200,59
2025-04,20,261.3288,152.2493,287.4850,0.7400,454.0600,58
2025-04,21,265.2714,150.7729,299.0300,0.5067,449.5500,56
2025-04,22,285.5705,161.1138,330.9100,0.4300,474.1500,60
2025-04,23,290.8413,187.5466,369.6700,0.2900,501.7000,59
2025-05,0,6.4191,8.3732,3.2650,-0.0400,30.9627,130
2025-05,1,51.1164,309.6385,3.9000,0.1700,3376.1185,129
2025-05,2,4.2652,3.9085,3.7250,0.3400,14.8100,132
2025-05,3,3.7819,2.9936,3.7400,0.3600,10.9300,129
2025-05,4,25.8207,88.5226,3.8300,0.4500,652.1485,131
2025-05,5,3.1786,2.0001,3.3200,0.4300,7.4900,129
2025-05,6,3.0170,1.8819,2.8450,0.4500,6.5700,130
2025-05,7,20.3748,65.9851,2.3800,0.4600,463.0050,131
2025-05,8,3.4570,4.2959,1.8900,0.4300,17.3060,131
2025-05,9,3.3188,3.9839,1.7500,0.3800,16.2200,131
2025-05,10,19.3040,57.6978,1.9800,0.6000,351.4554,127
2025-05,11,2.3516,1.8197,1.8800,0.7800,6.7900,119
2025-05,12,2.3818,1.8895,1.8250,0.6300,6.8600,120
2025-05,13,17.2271,50.8953,1.8500,0.5300,249.2027,120
2025-05,14,2.6527,2.7036,1.1400,0.3100,9.8800,128
2025-05,15,2.7404,3.0798,1.0217,0.1300,12.2000,132
2025-05,16,18.5442,56.8012,1.8668,0.1200,331.7981,132
2025-05,17,2.8299,3.0256,1.0050,-0.0072,9.7400,132
2025-05,18,3.2103,3.3008,1.0200,0.2300,12.3800,132
2025-05,19,25.3250,83.1887,2.0750,0.1200,623.4524,132
2025-05,20,4.3690,4.8632,2.2367,-0.0700,17.8800,129
2025-05,21,4.2181,4.8078,2.6150,-0.2050,18.3000,130
2025-05,22,23.2946,71.8175,2.9700,-0.1600,504.5238,131
2025-05,23,5.8898,7.3746,2.9550,-0.1600,34.1700,130
2025-06,0,,0.0000,,,,0
2025-06,1,,0.0000,,,,0
2025-06,2,,0.0000,,,,0
2025-06,3,,0.0000,,,,0
2025-06,4,,0.0000,,,,0
2025-06,5,,0.0000,,,,0
2025-06,6,,0.0000,,,,0
2025-06,7,,0.0000,,,,0
2025-06,8,,0.0000,,,,0
2025-06,9,,0.0000,,,,0
2025-06,10,,0.0000,,,,0
2025-06,11,,0.0000,,,,0
2025-06,12,,0.0000,,,,0
2025-06,13,,0.0000,,,,0
2025-06,14,,0.0000,,,,0
2025-06,15,,0.0000,,,,0
2025-06,16,,0.0000,,,,0
2025-06,17,,0.0000,,,,0
2025-06,18,,0.0000,,,,0
2025-06,19,,0.0000,,,,0
2025-06,20,,0.0000,,,,0
2025-06,21,,0.0000,,,,0
2025-06,22,,0.0000,,,,0
2025-06,23,,0.0000,,,,0
2025-07,0,151.7173,384.6577,11.5600,4.4300,2961.1545,239
2025-07,1,171.7295,554.2565,10.7200,4.3200,3682.7500,232
2025-07,2,189.0598,697.4898,10.5450,4.5900,4829.9092,224
2025-07,3,67.9430,358.3806,10.5350,4.6300,4269.8567,228
2025-07,4,57.3253,169.9045,9.7300,4.2000,1628.5350,226
2025-07,5,101.4988,401.2584,10.1800,4.4000,4829.2522,228
2025-07,6,91.5346,357.7116,10.0350,4.5300,3274.0613,228
2025-07,7,77.6801,334.3140,9.7600,4.6100,4443.3600,226
2025-07,8,73.5952,311.7123,10.0300,4.7200,3705.0200,227
2025-07,9,64.2711,159.5835,10.1900,4.7900,1456.9755,228
2025-07,10,72.2308,326.4958,8.1400,4.8000,4197.1072,225
2025-07,11,89.8088,284.7259,10.1150,4.6800,2947.8325,228
2025-07,12,96.4471,340.9033,9.9250,4.7400,3444.0827,228
2025-07,13,101.7388,374.9380,8.0000,4.2800,4557.9575,227
2025-07,14,90.1773,314.5468,9.1200,4.1300,4036.4900,227
2025-07,15,86.2610,274.4102,9.4600,4.1600,3451.3800,227
2025-07,16,134.4968,494.1765,8.6800,4.0800,4847.4163,227
2025-07,17,105.6071,324.5670,9.1000,4.2100,2932.1333,227
2025-07,18,129.6574,441.0357,9.1900,4.3900,4289.5711,227
2025-07,19,111.4872,336.5112,8.6550,4.4400,2953.5290,226
2025-07,20,94.3841,275.3406,10.4693,4.6000,3277.2294,227
2025-07,21,94.1695,306.0059,9.5750,4.4500,3888.0700,228
2025-07,22,105.1587,331.2024,8.8800,4.4300,3371.1750,238
2025-07,23,115.3925,395.0444,11.3700,4.5400,4908.2045,239
2025-08,0,,0.0000,,,,0
2025-08,1,,0.0000,,,,0
2025-08,2,,0.0000,,,,0
2025-08,3,,0.0000,,,,0
2025-08,4,,0.0000,,,,0
2025-08,5,,0.0000,,,,0
2025-08,6,,0.0000,,,,0
2025-08,7,,0.0000,,,,0
2025-08,8,,0.0000,,,,0
2025-08,9,,0.0000,,,,0
2025-08,10,,0.0000,,,,0
2025-08,11,,0.0000,,,,0
2025-08,12,,0.0000,,,,0
2025-08,13,,0.0000,,,,0
2025-08,14,,0.0000,,,,0
2025-08,15,,0.0000,,,,0
2025-08,16,,0.0000,,,,0
2025-08,17,,0.0000,,,,0
2025-08,18,,0.0000,,,,0
2025-08,19,,0.0000,,,,0
2025-08,20,,0.0000,,,,0
2025-08,21,,0.0000,,,,0
2025-08,22,,0.0000,,,,0
